Sr.No.,Colleges,CourseName,ST,City
146,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,15.171,Ashta
147,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,12.64,Kolhapur
148,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,12.099,Nanded
149,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Electronics and Telecommunication Engineering,10.51,Jaysingpur
150,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,10.1983,"Alandi, Pune"
151,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,10.02,Ichalkaranji
152,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,9.309,Pune
153,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Electronics and Telecommunication Engineering,8.541,Pune
154,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),8.344,"Wanadongri, Nagpur"
155,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,7.394,Pune
156,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,6.642,Pune
157,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,5.808,Nanded
158,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,5.269,"Alandi, Pune"
159,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,4.578,Nanded
160,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,1.581,Pune
161,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,0,Kolhapur
162,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,0,Kolhapur
163,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,0,Kolhapur
164,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,0,Ichalkaranji
165,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
166,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,0,Ichalkaranji
